STOP_ID,TRF_DISTRICT_CODE,BAY_CODE,BEARING_CODE,ON_STREET_NAME,INTERSECTION_LOC,HASTUS_CROSS_STREET_NAME,KCM_MANAGED_EQUIPMENT,ROUTE_LIST,NUM_SHELTERS,STOP_STATUS,GISOBJID,lon,lat,is_hotspot,compactor,has_trash,notes
2370,CB,,W,Mercer St,Near side,Queen Anne Ave N,YES,1 32 8 D,1,ACT,243,-122.3565447,47.62464868,FALSE,FALSE,FALSE,
2550,CB,,S,7th Ave W,Far side,W Pleasant Pl,YES,2,1,ACT,258,-122.3663472,47.6426526,FALSE,FALSE,FALSE,
2570,CB,,E,W McGraw St,Near side,6th Ave W,YES,2,1,ACT,260,-122.3653135,47.63951729,FALSE,FALSE,FALSE,
2580,CB,,S,6th Ave W,Far side,W Crockett St,YES,2,1,ACT,261,-122.3650774,47.63756238,FALSE,FALSE,FALSE,
2590,CB,,S,6th Ave W,Near side,W Howe St,YES,2,1,ACT,262,-122.365101,47.63602269,FALSE,FALSE,FALSE,
2610,CB,,S,6th Ave W,Near side,W Galer St,YES,2,1,ACT,264,-122.3651501,47.6324541,FALSE,FALSE,FALSE,
2620,CB,,E,W Galer St,Far side,5th Aly W,YES,2,1,ACT,265,-122.3627834,47.63225723,FALSE,FALSE,FALSE,
2630,CB,,E,W Galer St,Near side,2nd Ave W,YES,2,1,ACT,266,-122.3585035,47.63225104,FALSE,FALSE,FALSE,
2660,CB,,S,Queen Anne Ave N,Near side,W Highland Dr,YES,13 2,1,ACT,269,-122.3567224,47.62960855,FALSE,FALSE,FALSE,
2680,CB,,S,Queen Anne Ave N,Near side,Valley St,YES,13 2,1,ACT,272,-122.3567949,47.62654583,FALSE,FALSE,FALSE,
2690,CB,,N,1st Ave N,Far side,Mercer St,YES,13 2,1,ACT,273,-122.3553021,47.62473687,FALSE,FALSE,FALSE,
2850,SC,,E,Madrona Park,Far side,Lake Washington Blvd,YES,2,1,ACT,291,-122.2817027,47.61219382,FALSE,FALSE,FALSE,
2870,SC,,N,Madrona Dr,Near side,E Pine St,YES,2,1,ACT,293,-122.2837941,47.61521215,FALSE,FALSE,FALSE,
2930,SC,,S,34th Ave,Near side,E Union St,YES,2,1,ACT,300,-122.2894056,47.61300996,FALSE,FALSE,FALSE,
2940,SC,,W,E Union St,Far side,33rd Ave,YES,2 988EN,1,ACT,301,-122.2907995,47.61297402,FALSE,FALSE,FALSE,
2960,SC,,W,E Union St,Far side,29th Ave,YES,2,1,ACT,303,-122.2952981,47.61303258,FALSE,FALSE,FALSE,
2970,SC,,W,E Union St,Far side,27th Ave,YES,2,1,ACT,304,-122.2978277,47.61300663,FALSE,FALSE,FALSE,
2980,SC,,W,E Union St,Far side,25th Ave,YES,2,1,ACT,305,-122.3004554,47.61300952,FALSE,FALSE,FALSE,
3000,SC,,W,E Union St,Near side,20th Ave,YES,2,1,ACT,307,-122.306164,47.61297883,FALSE,FALSE,FALSE,
3010,SC,,W,E Union St,Far side,18th Ave,YES,2,1,ACT,308,-122.309347,47.61297159,FALSE,FALSE,FALSE,
3032,SC,,W,E Union St,Near side,Broadway,YES,2,1,ACT,312,-122.3205892,47.61303114,FALSE,FALSE,FALSE,
3034,SC,,W,Seneca St,Far side,Summit Ave,YES,2,1,ACT,314,-122.3245716,47.61162858,FALSE,FALSE,FALSE,
3035,SC,,W,Seneca St,Near side,Boren Ave,YES,2,1,ACT,315,-122.32623,47.61092243,FALSE,FALSE,FALSE,
3036,SC,,W,Seneca St,Far side,Terry Ave,YES,2 630,2,ACT,316,-122.3278968,47.61022574,FALSE,FALSE,FALSE,
3151,SC,,E,Seneca St,Far side,9th Ave,YES,2,1,ACT,319,-122.3283089,47.60989156,FALSE,FALSE,FALSE,
3155,SC,,E,E Union St,Far side,Broadway,YES,2,1,ACT,323,-122.3203862,47.61288216,FALSE,FALSE,FALSE,
3230,SC,,E,E Union St,Far side,Martin L King Jr Way,YES,2,1,ACT,332,-122.2956511,47.61289423,FALSE,FALSE,FALSE,
3380,SC,,N,Beacon Ave S,Near side,S Columbian Way,YES,36,1,ACT,343,-122.3041538,47.55922231,FALSE,FALSE,FALSE,
3400,SC,,N,Beacon Ave S,Far side,VA Hospital AcRd,YES,36,3,ACT,345,-122.3055614,47.56373661,FALSE,FALSE,FALSE,
3430,SC,,N,Beacon Ave S,Far side,S Spokane St,YES,36,1,ACT,348,-122.3082185,47.57215848,FALSE,FALSE,FALSE,
3450,SC,,N,Beacon Ave S,Far side,S Hanford St,YES,36,1,ACT,350,-122.3091787,47.5753026,FALSE,FALSE,FALSE,
3470,SC,,N,Beacon Ave S,Near side,S Lander St,YES,36 60,1,ACT,352,-122.3121004,47.57930224,FALSE,FALSE,FALSE,
3484,SC,,N,Beacon Ave S,Far side,15th Ave S,YES,36 60,1,ACT,100012295,-122.3136265,47.58095445,FALSE,FALSE,FALSE,
